date,symbol,open,high,low,close,adj_close,volume
2025-07-18,ABG.JO,17401.00,17836.00,17520.00,17776.00,17768.61,3278971
2025-07-18,ADH.JO,3203.00,3228.00,3196.00,3204.00,3203.54,123114
2025-07-18,AGL.JO,53014.00,53571.00,52724.00,53300.00,53298.58,712577
2025-07-18,ANH.JO,120926.00,121121.00,120064.00,120840.00,120839.84,149679
2025-07-18,APN.JO,11436.00,11539.00,11320.00,11380.00,11377.52,1281515
2025-07-18,AVI.JO,9536.00,9631.00,9493.00,9536.00,9532.15,1245001
2025-07-18,BHG.JO,46600.00,46509.00,45534.00,45807.00,45788.75,285144
2025-07-18,BTI.JO,91250.00,91309.00,90070.00,90532.00,90492.42,752465
2025-07-18,BVT.JO,23272.00,23808.00,23154.00,23791.00,23780.92,872632
2025-07-18,CFR.JO,317500.00,321141.00,314021.00,314898.00,314895.19,158813
2025-07-18,CLS.JO,36737.00,37191.00,36589.00,37105.00,37098.16,339033
2025-07-18,CPI.JO,343925.00,350181.00,340614.00,349396.00,349373.38,168683
2025-07-18,DSY.JO,21400.00,21933.00,21393.00,21838.00,21835.95,1004945
2025-07-18,EXX.JO,17389.00,17389.00,17138.00,17271.00,17262.92,1125154
2025-07-18,FSR.JO,7501.00,7696.00,7425.00,7667.00,7664.66,9905379
2025-07-18,GFI.JO,43399.00,44740.00,42658.00,43393.00,43376.43,1277274
2025-07-18,GLN.JO,7356.00,7389.00,7264.00,7279.00,7278.95,6527338
2025-07-18,IMP.JO,17500.00,18726.00,17500.00,18073.00,18068.06,4727954
2025-07-18,KIO.JO,29780.00,29930.00,29424.00,29602.00,29571.97,645659
2025-07-18,KST.JO,2227.00,2230.00,2200.00,2215.00,2214.82,195066
2025-07-18,LHC.JO,1360.00,1356.00,1340.00,1353.00,1350.26,2705983
2025-07-18,MRP.JO,21630.00,21630.00,21134.00,21550.00,21546.68,730996
2025-07-18,MTH.JO,9531.00,9749.00,9445.00,9749.00,9743.70,424741
2025-07-18,MTM.JO,3440.00,3443.00,3345.00,3443.00,3442.08,2718199
2025-07-18,MTN.JO,14475.00,14716.00,14496.00,14595.00,14595.00,3683897
2025-07-18,NED.JO,24153.00,24566.00,24060.00,24566.00,24554.80,667303
2025-07-18,NPN.JO,110154.20,112289.40,110294.60,111662.20,111656.83,1145445
2025-07-18,OMU.JO,1150.00,1192.00,1148.00,1192.00,1191.67,31314891
2025-07-18,OUT.JO,7948.00,7880.00,7654.00,7751.00,7749.11,1306074
2025-07-18,PAN.JO,1260.00,1289.00,1259.00,1275.00,1274.74,10956996
2025-07-18,PRX.JO,101736.00,102927.00,101735.00,102706.00,102705.83,741976
2025-07-18,REM.JO,16999.00,17366.00,16910.00,17350.00,17345.57,728107
2025-07-18,S32.JO,3479.00,3375.00,3298.00,3298.00,3297.10,8153517
2025-07-18,SAP.JO,2976.00,2976.00,2903.00,2911.00,2911.00,3593685
2025-07-18,SBK.JO,22690.00,23309.00,22631.00,23206.00,23198.29,1610846
2025-07-18,SHP.JO,27200.00,27814.00,26995.00,27721.00,27713.00,1333778
2025-07-18,SLM.JO,8720.00,8881.00,8591.00,8854.00,8854.00,2623123
2025-07-18,SOL.JO,8890.00,9091.00,8830.00,8992.00,8992.00,2847159
2025-07-18,SPP.JO,10961.00,11042.00,10885.00,10949.00,10949.00,224104
2025-07-18,SUI.JO,4717.00,4776.00,4716.00,4736.00,4734.13,151922
2025-07-18,TBS.JO,29970.00,30025.00,29361.00,29361.00,29330.49,306627
2025-07-18,TRU.JO,6877.00,7053.00,6877.00,7045.00,7038.76,1574212
2025-07-18,VAL.JO,82500.00,90800.00,82700.00,88050.00,88019.05,1591191
2025-07-18,VOD.JO,14060.00,14319.00,14057.00,14287.00,14283.65,983344
2025-07-18,WHL.JO,4750.00,4889.00,4762.00,4889.00,4887.12,3890073
