date,symbol,close,adj_close,price_used,price_basis,sma_50,sma_200,ema_20,macd,macd_signal,macd_histogram,volume,rsi_14,volume_avg_20,volume_spike_ratio,volume_spike,ema_20_reclaim,screen_rule_pass
2025-03-27,ABG.JO,18478.00,18462.03,18462.03,adj_close,,,,,,,2231734.00,,,,,,
2025-03-28,ABG.JO,17880.00,17864.54,17864.54,adj_close,,,,,,,3558232.00,,,,,,
2025-03-31,ABG.JO,17699.00,17683.70,17683.70,adj_close,,,,,,,3502856.00,,,,,,
2025-04-01,ABG.JO,17872.00,17856.55,17856.55,adj_close,,,,,,,3078179.00,,,,,,
2025-04-02,ABG.JO,17367.00,17351.98,17351.98,adj_close,,,,,,,3415007.00,,,,,,
2025-04-03,ABG.JO,16450.00,16435.78,16435.78,adj_close,,,,,,,9538859.00,,,,,,
2025-04-04,ABG.JO,15805.00,15791.33,15791.33,adj_close,,,,,,,5765554.00,,,,,,
2025-04-07,ABG.JO,16122.00,16108.06,16108.06,adj_close,,,,,,,7051644.00,,,,,,
2025-04-08,ABG.JO,16665.00,16650.59,16650.59,adj_close,,,,,,,4630305.00,,,,,,
2025-04-09,ABG.JO,15666.00,15652.46,15652.46,adj_close,,,,,,,5031889.00,,,,,,
2025-04-10,ABG.JO,16340.00,16325.87,16325.87,adj_close,,,,,,,3756161.00,,,,,,
2025-04-11,ABG.JO,16010.00,15996.16,15996.16,adj_close,,,,,,,2723276.00,,,,,,
2025-04-14,ABG.JO,17031.00,17016.28,17016.28,adj_close,,,,,,,3744298.00,,,,,,
2025-04-15,ABG.JO,17205.00,17190.12,17190.12,adj_close,,,,,,,3190496.00,,,,,,
2025-04-16,ABG.JO,17200.00,17185.13,17185.13,adj_close,,,,,,,2805704.00,28.94,,,,,
2025-04-17,ABG.JO,17100.00,17085.22,17085.22,adj_close,,,,,,,3162542.00,28.52,,,,,
2025-04-22,ABG.JO,17256.00,17241.08,17241.08,adj_close,,,,,,,2894114.00,30.19,,,,,
2025-04-23,ABG.JO,16645.00,16638.08,16638.08,adj_close,,,,,,,3156097.00,27.51,,,,,
2025-04-24,ABG.JO,16809.00,16802.01,16802.01,adj_close,,,,,,,2772627.00,29.35,,,,,
2025-04-25,ABG.JO,16820.00,16813.01,16813.01,adj_close,,,17051.08,,,,1807260.00,29.48,3890841.70,0.46,normal,,
2025-04-29,ABG.JO,17143.00,17135.88,17135.88,adj_close,,,17059.16,,,,3605219.00,33.33,3959515.95,0.91,normal,true,
2025-04-30,ABG.JO,17075.00,17067.90,17067.90,adj_close,,,17059.99,,,,2404148.00,32.92,3901811.75,0.62,normal,false,
2025-05-02,ABG.JO,17150.00,17142.87,17142.87,adj_close,,,17067.88,,,,1840029.00,33.88,3818670.40,0.48,normal,false,
